epoch,accuracy,auc,false_negatives,false_positives,loss,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_true_negatives,val_true_positives
0,0.9742908477783203,0.9971089363098145,3806.0,3539.0,3.5035595893859863,283985.0,139956.0,0.9747173190116882,0.9921819567680359,644.0,644.0,2.787046194076538,50300.0,24828.0
1,0.9966750741004944,0.9996049404144287,482.0,474.0,2.090179681777954,287050.0,143280.0,0.9770336151123047,0.9891922473907471,587.0,583.0,1.8067282438278198,50361.0,24885.0
2,0.9981914758682251,0.9998157620429993,263.0,257.0,1.1770821809768677,287267.0,143499.0,0.9775047302246094,0.9887191653251648,573.0,571.0,1.0412284135818481,50373.0,24899.0
3,0.9991304874420166,0.9999370574951172,126.0,124.0,0.5577044486999512,287400.0,143636.0,0.9864164590835571,0.9969200491905212,348.0,339.0,0.3839789927005768,50605.0,25124.0
4,0.9994574189186096,0.9999834895133972,78.0,77.0,0.19397158920764923,287447.0,143684.0,0.9878690242767334,0.9955061674118042,310.0,304.0,0.17862576246261597,50640.0,25162.0
5,0.9996173977851868,0.9999890327453613,56.0,54.0,0.05668935924768448,287470.0,143706.0,0.9846498370170593,0.9971091747283936,395.0,384.0,0.0880296379327774,50560.0,25077.0
6,0.9996313452720642,0.99997878074646,53.0,53.0,0.017039120197296143,287471.0,143709.0,0.9866127371788025,0.9977008104324341,345.0,337.0,0.06172507628798485,50607.0,25127.0
7,0.9998191595077515,0.999994695186615,26.0,26.0,0.006622379180043936,287498.0,143736.0,0.9783291220664978,0.9926012754440308,555.0,545.0,0.12720218300819397,50399.0,24917.0
8,0.9997356534004211,0.9999841451644897,38.0,38.0,0.00383703107945621,287486.0,143724.0,0.9786039590835571,0.9931345582008362,557.0,536.0,0.12801532447338104,50408.0,24915.0
9,0.9998956322669983,0.9999999403953552,15.0,15.0,0.002502732677385211,287509.0,143747.0,0.9811950325965881,0.995952844619751,482.0,474.0,0.07961654663085938,50470.0,24990.0
10,0.9998608827590942,0.9999947547912598,20.0,20.0,0.0021719287615269423,287504.0,143742.0,0.9749528765678406,0.993209183216095,644.0,631.0,0.11743444949388504,50313.0,24828.0
11,0.9999165534973145,1.0,12.0,12.0,0.001745898276567459,287512.0,143750.0,0.9899889826774597,0.997727632522583,256.0,253.0,0.04714810103178024,50691.0,25216.0
